Brand,model,Year,kmDriven,Transmission,Owner,FuelType,Price
Maruti Suzuki,Wagon-R,2013,"80,000",Manual,first,Hybrid/CNG,"? 3,25,000."
Maruti Suzuki,Wagon-R,2021,"44,000",Automatic,first,Hybrid/CNG,"? 5,85,000."
Maruti Suzuki,Wagon-R,2014,"75,000",Manual,first,Hybrid/CNG,"? 1,95,000."
Maruti Suzuki,Wagon-R,2017,"96,000",Automatic,first,Hybrid/CNG,"? 3,50,000."
Maruti Suzuki,Wagon-R,2012,"58,000",Automatic,first,Hybrid/CNG,"? 2,45,000."
Maruti Suzuki,Wagon-R,2008,"43,000",Manual,second,Hybrid/CNG,"? 1,49,000."
Maruti Suzuki,Wagon-R,2017,"50,000",Automatic,first,Hybrid/CNG,"? 4,35,000."
Maruti Suzuki,Wagon-R,2015,"62,000",Automatic,second,Hybrid/CNG,"? 1,20,000."
Maruti Suzuki,Wagon-R,2015,"90,000",Manual,second,Hybrid/CNG,"? 2,90,000."
Maruti Suzuki,Wagon-R,2019,"72,500",Manual,first,Hybrid/CNG,"? 4,25,000."
Maruti Suzuki,Wagon-R,2011,"95,000",Manual,second,Hybrid/CNG,"? 2,20,000."
Maruti Suzuki,Wagon-R,2012,"56,000",Manual,first,Hybrid/CNG,"? 1,95,000."
Maruti Suzuki,Wagon-R,2021,"60,000",Manual,first,Hybrid/CNG,"? 5,10,000."
Maruti Suzuki,Wagon-R,2011,"109,500",Automatic,first,Hybrid/CNG,"? 2,45,000."
Maruti Suzuki,Wagon-R,2023,"35,000",Automatic,first,Hybrid/CNG,"? 7,50,000."
Maruti Suzuki,Wagon-R,2019,"76,000",Manual,first,Hybrid/CNG,"? 4,50,000."
Maruti Suzuki,Wagon-R,2012,"146,000",Manual,second,Hybrid/CNG,"? 2,10,000."
Maruti Suzuki,Wagon-R,2022,"65,000",Automatic,second,Hybrid/CNG,"? 5,95,000."
Maruti Suzuki,Wagon-R,2020,"72,500",Manual,first,Hybrid/CNG,"? 4,25,000."
Maruti Suzuki,Wagon-R,2021,"35,312",Manual,first,Hybrid/CNG,"? 5,95,000."
Maruti Suzuki,Wagon-R,2008,1,Manual,second,Hybrid/CNG,"? 1,35,000."
Maruti Suzuki,Wagon-R,2016,"95,000",Automatic,second,Hybrid/CNG,"? 2,64,999."
Maruti Suzuki,Wagon-R,2012,"100,000",Automatic,second,Hybrid/CNG,"? 1,40,000."
Maruti Suzuki,Wagon-R,2013,"85,000",Manual,second,Hybrid/CNG,"? 2,95,000."
Maruti Suzuki,Wagon-R,2016,"199,995",Manual,first,Hybrid/CNG,"? 3,00,000."
Maruti Suzuki,Wagon-R,2023,"50,000",Manual,second,Hybrid/CNG,"? 6,00,000."
Maruti Suzuki,Wagon-R,2017,"62,500",Automatic,second,Hybrid/CNG,"? 3,45,000."
Maruti Suzuki,Wagon-R,2012,"52,000",Manual,second,Hybrid/CNG,"? 2,60,000."
Maruti Suzuki,Wagon-R,2017,"62,000",Automatic,second,Hybrid/CNG,"? 3,59,000."
Maruti Suzuki,Wagon-R,2021,"80,000",Manual,first,Hybrid/CNG,"? 4,95,000."
Maruti Suzuki,Wagon-R,2014,"100,000",Manual,second,Hybrid/CNG,"? 2,90,000."
Maruti Suzuki,Wagon-R,2016,"120,000",Automatic,first,Hybrid/CNG,"? 2,50,000."
Maruti Suzuki,Wagon-R,2012,"73,523",Automatic,second,Hybrid/CNG,"? 1,60,000."
Maruti Suzuki,Wagon-R,2024,"50,000",Automatic,first,Hybrid/CNG,"? 7,50,000."
Maruti Suzuki,Wagon-R,2017,"80,000",Automatic,second,Hybrid/CNG,"? 4,20,000."
Maruti Suzuki,Wagon-R,2022,"80,000",Automatic,first,Hybrid/CNG,"? 5,20,000."
Maruti Suzuki,Wagon-R,2023,"40,000",Manual,second,Hybrid/CNG,"? 5,50,000."
Maruti Suzuki,Wagon-R,2020,"70,000",Manual,first,Hybrid/CNG,"? 4,25,000."
Maruti Suzuki,Wagon-R,2018,"286,000",Automatic,first,Hybrid/CNG,"? 2,45,000."
Maruti Suzuki,Wagon-R,2011,"84,750",Manual,second,Hybrid/CNG,"? 1,65,000."
Maruti Suzuki,Wagon-R,2011,"65,000",Manual,first,Hybrid/CNG,"? 2,50,000."
